batch,kernel_time,flops,utils,kernel_name
26876,23889.73,132.12,0.7959,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26880,23894.52,132.11,0.79584,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26884,20354.39,155.11,0.9344,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26888,20343.06,155.22,0.93506,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26892,20386.14,154.92,0.93325,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26896,20375.26,155.03,0.93392,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26900,20442.13,154.54,0.93096,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26904,20449.89,154.51,0.93078,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26908,20643.97,153.08,0.92217,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26912,20465.47,154.43,0.9303,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26916,20335.5,155.44,0.93639,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26920,20378.41,155.14,0.93458,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26924,20415.87,154.88,0.93301,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26928,20479.09,154.42,0.93024,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26932,20449.33,154.67,0.93175,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26936,20517.3,154.18,0.9288,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26940,20333.99,155.59,0.93729,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26944,20371.95,155.33,0.93572,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26948,20394.03,155.18,0.93482,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26952,20465.93,154.66,0.93169,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26956,20550.53,154.05,0.92801,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26960,20517.22,154.32,0.92964,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
