batch,kernel_time,flops,utils
7880,11381.41,162.62,0.52122
7884,11687.8,158.44,0.50782
7888,11509.68,160.97,0.51593
7892,11438.32,162.06,0.51942
7896,11734.96,158.04,0.50654
7900,11406.4,162.68,0.52141
7904,11461.5,161.98,0.51917
7908,11701.84,158.73,0.50875
7912,11400.96,163.0,0.52244
7916,11559.42,160.85,0.51554
7920,11721.72,158.7,0.50865
7924,11401.41,163.24,0.52321
7928,11713.05,158.98,0.50955
7932,11573.22,160.98,0.51596
7936,11192.72,166.54,0.53378
7940,11328.04,164.63,0.52766
7944,11772.22,158.5,0.50801
7948,11222.16,166.35,0.53317
7952,11274.55,165.66,0.53096
7956,11741.7,159.15,0.5101
7960,11065.85,168.96,0.54154
7964,11330.46,165.09,0.52913
7968,11739.95,159.42,0.51096
7972,11476.59,163.16,0.52295
7976,11281.73,166.06,0.53224
7980,11657.6,160.78,0.51532
7984,10662.23,175.88,0.56372
7988,10862.14,172.73,0.55362
7992,11463.97,163.75,0.52484
7996,11197.9,167.72,0.53756
8000,11641.54,161.41,0.51734
8004,11596.79,162.11,0.51958
8008,11778.04,159.7,0.51186
8012,11747.66,160.19,0.51343
8016,11577.01,162.63,0.52125
8020,11814.98,159.44,0.51103
8024,11633.82,162.0,0.51923
8028,11879.23,158.73,0.50875
8032,11746.9,160.6,0.51474
8036,11591.86,162.83,0.52189
8040,11878.65,158.98,0.50955
8044,11595.27,162.94,0.52224
8048,11792.77,160.3,0.51378
8052,11808.62,160.16,0.51333
8056,11662.94,162.24,0.52
8060,11843.52,159.85,0.51234
8064,11611.5,163.12,0.52282
8068,12127.34,156.26,0.50083
8072,11813.66,160.49,0.51439
8076,11756.78,161.35,0.51715
8080,11987.12,158.32,0.50744
8084,11723.91,161.96,0.5191
8088,12063.28,157.48,0.50474
8092,11853.04,160.35,0.51394
8096,11985.89,158.65,0.50849
8100,11792.13,161.34,0.51712
8104,11993.16,158.71,0.50869
8108,11945.52,159.43,0.51099
8112,11798.47,161.49,0.5176
8116,11889.18,160.34,0.51391
8120,11745.37,162.38,0.52045
8124,12089.96,157.83,0.50587
8128,11686.7,163.36,0.52359
8132,11977.64,159.47,0.51112
8136,11927.32,160.22,0.51353
8140,11819.42,161.76,0.51846
8144,12012.08,159.25,0.51042
8148,11696.77,163.62,0.52442
8152,11948.63,160.25,0.51362
8156,11766.57,162.81,0.52183
8160,12104.72,158.34,0.5075
8164,11834.56,162.03,0.51933
8168,11924.84,160.88,0.51564
8172,11841.16,162.1,0.51955
8176,11923.23,161.06,0.51622
8180,12062.84,159.28,0.51051
8184,11786.87,163.09,0.52272
8188,12028.17,159.89,0.51247
8192,11563.64,166.4,0.53333
